timestamp	personID	ShoulderLeft.X	ShoulderLeft.Y	ShoulderLeft.Z	ShoulderRight.X	ShoulderRight.Y	ShoulderRight.Z	ElbowLeft.X	ElbowLeft.Y	ElbowLeft.Z	ElbowRight.X	ElbowRight.Y	ElbowRight.Z	WristLeft.X	WristLeft.Y	WristLeft.Z	WristRight.X	WristRight.Y	WristRight.Z	HandLeft.X	HandLeft.Y	HandLeft.Z	HandRight.X	HandRight.Y	HandRight.Z	Head.X	Head.Y	Head.Z	Neck.X	Neck.Y	Neck.Z	SpineShoulder.X	SpineShoulder.Y	SpineShoulder.Z	SpineMid.X	SpineMid.Y	SpineMid.Z	HandTipLeft.X	HandTipLeft.Y	HandTipLeft.Z	HandTipRight.X	HandTipRight.Y	HandTipRight.Z	ThumbLeft.X	ThumbLeft.Y	ThumbLeft.Z	ThumbRight.X	ThumbRight.Y	ThumbRight.Z	HandLeftOri.X	HandLeftOri.Y	HandLeftOri.Z	HandLeftOri.W	HandRightOri.X	HandRightOri.Y	HandRightOri.Z	HandRightOri.W	HandLeftStatus	HandRightStatus
05/30 01:44:10.242 PM	1	-1.300774	-0.03347709	2.532519	-1.028221	-0.008177124	2.591212	-1.35864	-0.2280887	2.600616	-0.9966927	-0.239544	2.678087	-1.29663	-0.4715897	2.485757	-1.026073	-0.4294934	2.72181	-1.263248	-0.5135411	2.445044	-1.037107	-0.4930903	2.739724	-1.202715	0.2034941	2.492282	-1.167578	0.07264441	2.527192	-1.168988	0.005758908	2.53484	-1.169327	-0.1971319	2.550132	-1.230453	-0.5693271	2.430054	-1.034526	-0.4940265	2.724253	-1.226337	-0.4784867	2.422792	-1.031574	-0.4897726	2.721637	0.7707906	0.06172492	0.4663357	-0.4296546	0.008351937	0.1347254	0.987232	0.08457083	Inferred	Inferred
05/30 01:44:10.246 PM	2	0.1637007	0.03759846	2.796411	0.4868122	0.03199978	2.699368	0.1135505	-0.1992336	2.846052	0.5800291	-0.1882528	2.725322	0.1412751	-0.3863154	2.738127	0.5235012	-0.3779654	2.635325	0.1758565	-0.4216301	2.710569	0.4790621	-0.4132782	2.627569	0.3113004	0.2679773	2.723013	0.332294	0.1424004	2.740495	0.3326519	0.06756926	2.748041	0.3325115	-0.160349	2.761066	0.1950119	-0.4904833	2.690802	0.4560671	-0.4982418	2.612779	0.1603376	-0.4776039	2.750126	0.4301876	-0.3886409	2.611104	-0.2803482	-0.3622809	0.8564038	-0.2381805	-0.6506491	0.2602845	0.6203681	0.352209	Tracked	Tracked
05/30 01:44:10.288 PM	1	-1.301856	-0.03219841	2.533772	-1.028366	-0.00818725	2.591569	-1.358983	-0.2282538	2.600779	-0.9966908	-0.2395427	2.678088	-1.297578	-0.4722955	2.486833	-1.026027	-0.4295053	2.721801	-1.262734	-0.5166315	2.445152	-1.037047	-0.4931065	2.739712	-1.202842	0.2033654	2.492311	-1.167511	0.07263859	2.527173	-1.168955	0.005760128	2.534825	-1.169342	-0.1971236	2.550111	-1.230646	-0.5767236	2.434511	-1.034467	-0.4940428	2.724241	-1.221866	-0.483069	2.426057	-1.031568	-0.4897853	2.721653	0.7717407	0.06391643	0.4696292	-0.424004	0.008347828	0.1346979	0.9872456	0.08445786	Inferred	Inferred
05/30 01:44:10.291 PM	2	0.1637147	0.03770462	2.796528	0.4868714	0.03193588	2.699397	0.1135185	-0.1991003	2.846088	0.5800085	-0.1878342	2.725281	0.1412334	-0.3862175	2.738228	0.5236883	-0.377878	2.635939	0.1768124	-0.4212057	2.709221	0.4793496	-0.4132727	2.629936	0.3113059	0.2679216	2.723151	0.3322863	0.1424115	2.740518	0.332637	0.0675793	2.748073	0.3324643	-0.1603516	2.761133	0.1973305	-0.5021002	2.683059	0.4522032	-0.4939315	2.616616	0.1585909	-0.4980001	2.743	0.4315096	-0.3849745	2.616371	-0.3074695	-0.3813756	0.8417576	-0.2268464	-0.6244106	0.2573811	0.6483186	0.3514958	Tracked	Tracked
05/30 01:44:10.329 PM	1	-1.301969	-0.03221957	2.533821	-1.028444	-0.008152352	2.591858	-1.358465	-0.2278849	2.600516	-0.9965834	-0.2396622	2.677976	-1.296631	-0.4713863	2.485548	-1.025903	-0.4296687	2.72155	-1.262416	-0.5138751	2.442813	-1.036918	-0.4932847	2.739414	-1.202972	0.2034143	2.492151	-1.167185	0.07261441	2.526958	-1.168724	0.005749999	2.534644	-1.169309	-0.1971232	2.549996	-1.232347	-0.5689558	2.428586	-1.034337	-0.4942202	2.723944	-1.221526	-0.4825214	2.423659	-1.031401	-0.489883	2.721407	0.7756912	0.06438891	0.4526228	-0.4350748	0.008314783	0.1343409	0.9872991	0.08440248	Inferred	Inferred
05/30 01:44:10.333 PM	2	0.1637189	0.03777429	2.796528	0.486582	0.0320307	2.699296	0.113532	-0.1992722	2.845832	0.5798075	-0.1881456	2.725064	0.1412769	-0.3865008	2.738198	0.523666	-0.3782466	2.635741	0.1760416	-0.4215759	2.70881	0.4789295	-0.4148654	2.626925	0.3112559	0.2678648	2.723168	0.332226	0.1423917	2.74048	0.3325821	0.06755946	2.748042	0.3324217	-0.1603746	2.761111	0.1910428	-0.5082116	2.69251	0.4545427	-0.4985117	2.61418	0.1415717	-0.4332558	2.7142	0.4327548	-0.3908423	2.60857	-0.4059639	-0.4066263	0.8002299	-0.1716986	-0.6573492	0.2520037	0.617232	0.3512987	Tracked	Tracked
05/30 01:44:10.363 PM	1	-1.301183	-0.0323206	2.532678	-1.028576	-0.008211655	2.592269	-1.358508	-0.2278871	2.600599	-0.9965783	-0.2396923	2.677913	-1.296704	-0.4713217	2.485454	-1.02584	-0.4296794	2.721597	-1.263236	-0.5105509	2.445136	-1.036835	-0.493289	2.739498	-1.203099	0.2033061	2.491996	-1.167206	0.07258293	2.527022	-1.168744	0.005740171	2.53469	-1.169345	-0.1970913	2.550018	-1.236534	-0.5674416	2.431928	-1.034255	-0.4942245	2.724028	-1.222144	-0.4785932	2.42593	-1.031386	-0.4898874	2.721481	0.7652908	0.06650478	0.4625883	-0.4426276	0.008338236	0.1346203	0.9872727	0.08426369	Inferred	Inferred
05/30 01:44:10.364 PM	2	0.1637222	0.03782241	2.796528	0.4866934	0.03195497	2.699336	0.1135345	-0.1989981	2.845899	0.5797619	-0.1881949	2.725144	0.1412271	-0.3862784	2.738348	0.5238126	-0.3783231	2.635757	0.1754616	-0.4198469	2.712799	0.4794174	-0.4122918	2.630126	0.3112403	0.2678846	2.723213	0.3322544	0.1424062	2.740508	0.3326046	0.0675742	2.748069	0.3324291	-0.160362	2.76113	0.196407	-0.492172	2.686229	0.4547874	-0.4923221	2.618854	0.1633083	-0.4791204	2.741429	0.4319165	-0.3899008	2.612138	-0.3003155	-0.3633927	0.8477919	-0.2429099	-0.6410422	0.2766082	0.6255955	0.3481137	Tracked	Tracked
05/30 01:44:10.396 PM	1	-1.301397	-0.03229074	2.532829	-1.028378	-0.008034365	2.590729	-1.357651	-0.2280737	2.600017	-0.996627	-0.2396488	2.677925	-1.295745	-0.4712745	2.484385	-1.025803	-0.4296615	2.721582	-1.261843	-0.5105402	2.444749	-1.03677	-0.4932796	2.739475	-1.203326	0.2031203	2.491817	-1.167257	0.07254806	2.526654	-1.168794	0.005722777	2.534388	-1.169412	-0.1970855	2.549852	-1.232406	-0.5718924	2.433201	-1.03419	-0.4942152	2.724004	-1.221894	-0.4791529	2.426354	-1.031344	-0.4898818	2.721463	0.7599483	0.06731801	0.4724447	-0.4412968	0.008329002	0.1345519	0.9873009	0.08404357	Inferred	Inferred
05/30 01:44:10.398 PM	2	0.163837	0.0377659	2.796415	0.4867192	0.03194679	2.699354	0.1135264	-0.1991257	2.845839	0.5798383	-0.1879884	2.72498	0.141264	-0.3863913	2.738274	0.5240503	-0.378212	2.635713	0.1760506	-0.4211598	2.710725	0.4789847	-0.4142581	2.629568	0.3111856	0.2678705	2.723193	0.3323703	0.1424713	2.740559	0.3327102	0.06762417	2.748109	0.3325102	-0.1603504	2.761139	0.195849	-0.4994572	2.691207	0.457857	-0.4994169	2.618978	0.1589672	-0.48632	2.743115	0.4330775	-0.3917265	2.609414	-0.304968	-0.3720564	0.8457977	-0.2306402	0.6657283	-0.2793058	-0.6061057	-0.3338111	Tracked	Tracked
