timestamp	personID	ShoulderLeft.X	ShoulderLeft.Y	ShoulderLeft.Z	ShoulderRight.X	ShoulderRight.Y	ShoulderRight.Z	ElbowLeft.X	ElbowLeft.Y	ElbowLeft.Z	ElbowRight.X	ElbowRight.Y	ElbowRight.Z	WristLeft.X	WristLeft.Y	WristLeft.Z	WristRight.X	WristRight.Y	WristRight.Z	HandLeft.X	HandLeft.Y	HandLeft.Z	HandRight.X	HandRight.Y	HandRight.Z	Head.X	Head.Y	Head.Z	Neck.X	Neck.Y	Neck.Z	SpineShoulder.X	SpineShoulder.Y	SpineShoulder.Z	SpineMid.X	SpineMid.Y	SpineMid.Z	HandTipLeft.X	HandTipLeft.Y	HandTipLeft.Z	HandTipRight.X	HandTipRight.Y	HandTipRight.Z	ThumbLeft.X	ThumbLeft.Y	ThumbLeft.Z	ThumbRight.X	ThumbRight.Y	ThumbRight.Z	HandLeftOri.X	HandLeftOri.Y	HandLeftOri.Z	HandLeftOri.W	HandRightOri.X	HandRightOri.Y	HandRightOri.Z	HandRightOri.W	HandLeftStatus	HandRightStatus
05/29 01:55:36.183 PM	1	-0.4207388	0.03887873	2.442035	-0.06028834	0.02556619	2.390815	-0.4897178	-0.1780258	2.503382	0.07725351	-0.1610472	2.443644	-0.5054564	-0.3756679	2.450756	-0.02123295	-0.3703247	2.364838	-0.4867558	-0.4262317	2.421563	-0.07172801	-0.4134349	2.340509	-0.2456009	0.2985956	2.38412	-0.2267396	0.1460988	2.389296	-0.2317969	0.06805348	2.397723	-0.2462791	-0.1703953	2.41271	-0.4693907	-0.5084225	2.395446	-0.1034809	-0.4968746	2.308307	-0.4190535	-0.4095154	2.370391	-0.1163507	-0.3616563	2.310475	0.8192167	0.00876865	0.4911847	-0.2958793	0.7447282	-0.2234676	-0.5002108	-0.3810923	Tracked	Tracked
05/29 01:55:36.189 PM	5	-1.341116	0.3103323	2.268915	-1.045366	0.3650497	2.317471	-1.431085	0.1046242	2.294832	-0.9811475	0.1144058	2.333053	-1.296304	-0.0567861	2.232445	-0.9701124	-0.0955025	2.281482	-1.294552	-0.08710209	2.242546	-0.9804766	-0.1629364	2.267503	-1.207224	0.5198875	2.177894	-1.196973	0.4143609	2.266354	-1.198169	0.3522402	2.282682	-1.197674	0.1615493	2.322601	-1.281234	-0.133125	2.239644	-0.9878184	-0.2380474	2.265782	-1.268008	-0.07832492	2.2211	-0.9549729	-0.1680853	2.251968	0.7407579	0.1264782	0.6518653	0.1017478	0.7602531	-0.1224729	0.6373026	-0.02934431	Tracked	Tracked
05/29 01:55:36.205 PM	1	-0.4207436	0.03885963	2.441914	-0.06039755	0.02554749	2.389808	-0.4896479	-0.1780812	2.503231	0.07731194	-0.1608166	2.442961	-0.5053782	-0.3756918	2.450704	-0.02134238	-0.3701473	2.364563	-0.4870944	-0.4243674	2.420093	-0.0709295	-0.412333	2.340044	-0.2457178	0.2983498	2.383379	-0.2265796	0.145993	2.38861	-0.2316612	0.06794585	2.397118	-0.2461999	-0.1704984	2.412335	-0.4765682	-0.5046959	2.386784	-0.101299	-0.4980104	2.308334	-0.4190198	-0.4094146	2.368916	-0.1168526	-0.3611522	2.309966	0.807479	-0.00534316	0.5013359	-0.3108239	0.7553629	-0.2293472	-0.4823115	-0.37974	Tracked	Tracked
05/29 01:55:36.210 PM	5	-1.342075	0.3103304	2.269873	-1.04536	0.3650204	2.317789	-1.431635	0.1049687	2.295028	-0.9793745	0.1135973	2.330958	-1.297837	-0.05807953	2.235245	-0.9593891	-0.09592421	2.27998	-1.295619	-0.08752802	2.244287	-0.9648741	-0.1628177	2.263823	-1.20873	0.5177987	2.174856	-1.195166	0.4217061	2.261117	-1.197126	0.3569855	2.279049	-1.197738	0.1618967	2.322283	-1.283411	-0.1371411	2.241858	-0.9716939	-0.2393398	2.269158	-1.266971	-0.07196749	2.223142	-0.9431833	-0.1688374	2.227316	0.738297	0.1256163	0.6570066	0.08648823	0.9229997	-0.08052173	0.3640868	-0.09501874	Tracked	Tracked
05/29 01:55:36.243 PM	1	-0.4207566	0.0388801	2.441905	-0.06051708	0.02560478	2.389061	-0.4896269	-0.1780859	2.503186	0.07722109	-0.1606806	2.442365	-0.5053438	-0.3757366	2.450734	-0.02146455	-0.3701063	2.364309	-0.4865672	-0.4253552	2.421574	-0.07116118	-0.4124388	2.339978	-0.245919	0.2983806	2.382987	-0.2265673	0.1460746	2.388402	-0.2316514	0.06801452	2.396904	-0.2461936	-0.1704696	2.412113	-0.475493	-0.5057732	2.390733	-0.1012107	-0.4975794	2.306334	-0.4195365	-0.4084672	2.37225	-0.1162068	-0.362964	2.30899	0.7985346	-0.001984889	0.5216837	-0.3003075	0.7481484	-0.2246342	-0.4940488	-0.381745	Tracked	Tracked
05/29 01:55:36.245 PM	5	-1.343106	0.3114067	2.270996	-1.045318	0.3650137	2.318058	-1.431179	0.1049954	2.295178	-0.9770114	0.1112617	2.32913	-1.304163	-0.07596675	2.245814	-0.9580135	-0.09852087	2.279176	-1.299827	-0.1102099	2.253063	-0.9508131	-0.1655072	2.260237	-1.210684	0.5155998	2.173626	-1.195872	0.4166794	2.259847	-1.197907	0.3532017	2.278066	-1.199035	0.159661	2.32255	-1.288431	-0.1552079	2.249752	-0.9599029	-0.2385675	2.264771	-1.269678	-0.0999027	2.226611	-0.9313948	-0.1776016	2.227182	0.7763278	0.1129381	0.6186795	0.0423768	0.9367537	0.005283687	0.3179277	-0.146241	Tracked	Tracked
05/29 01:55:36.282 PM	1	-0.4206527	0.03906415	2.441736	-0.06061234	0.02563702	2.388487	-0.4895235	-0.1779695	2.502845	0.07726108	-0.1606297	2.441593	-0.5052155	-0.375749	2.450673	-0.02145155	-0.3702544	2.364208	-0.4866922	-0.4253841	2.420724	-0.07051331	-0.4114959	2.337862	-0.2461061	0.2983738	2.382777	-0.2264893	0.1460884	2.387923	-0.231593	0.06802297	2.396458	-0.2461825	-0.1704745	2.411772	-0.4728106	-0.5060328	2.393461	-0.1011317	-0.4971752	2.304459	-0.4190981	-0.4100003	2.369085	-0.116516	-0.3634129	2.305681	0.8170421	0.004121024	0.4901411	-0.303623	0.7501261	-0.2174249	-0.4846465	-0.3938973	Tracked	Tracked
05/29 01:55:36.283 PM	5	-1.351642	0.3028098	2.274034	-1.046043	0.3587227	2.310464	-1.429765	0.1041457	2.296227	-0.9735001	0.1081057	2.325442	-1.478194	-0.1012454	2.261462	-0.9540702	-0.1020362	2.27767	-1.488107	-0.1258874	2.244083	-0.9405229	-0.1683867	2.253179	-1.212414	0.5123227	2.170339	-1.199796	0.4093831	2.257093	-1.201063	0.3468507	2.275889	-1.200687	0.1553525	2.322586	-1.519323	-0.1827167	2.24137	-0.9453423	-0.2381876	2.254277	-1.463332	-0.1212852	2.192	-0.942843	-0.1507425	2.21555	0.9324893	-0.2060164	0.1364728	-0.2634315	0.9585931	0.1300419	-0.2044288	-0.1496567	Tracked	Tracked
05/29 01:55:36.323 PM	1	-0.4206583	0.03905791	2.441734	-0.06070803	0.02543277	2.387564	-0.4894832	-0.1779979	2.502824	0.07736775	-0.1607317	2.440553	-0.5051831	-0.3755898	2.450723	-0.02163079	-0.3700829	2.362721	-0.4855933	-0.4260265	2.420768	-0.06818905	-0.4119311	2.338927	-0.2462066	0.2983582	2.382504	-0.2264592	0.1460215	2.387533	-0.2315891	0.06795827	2.396066	-0.2462548	-0.1705318	2.411385	-0.4685689	-0.5064201	2.391114	-0.09730596	-0.4974003	2.310698	-0.4184693	-0.4088082	2.369415	-0.1096985	-0.3655148	2.31215	0.8098083	0.007367411	0.5019644	-0.3036247	0.7252312	-0.1932608	-0.5352348	-0.387574	Tracked	Tracked
05/29 01:55:36.325 PM	5	-1.351907	0.2970131	2.273776	-1.046338	0.35518	2.306806	-1.424233	0.09820971	2.297984	-0.9697043	0.1045285	2.320606	-1.435838	-0.1131985	2.261101	-0.9511409	-0.106302	2.276561	-1.4714	-0.1485008	2.252595	-0.930787	-0.1694246	2.250586	-1.213297	0.5099623	2.167922	-1.199932	0.4069316	2.25622	-1.201214	0.3442852	2.275114	-1.200894	0.1525188	2.322726	-1.481907	-0.1938141	2.243947	-0.9382955	-0.2377605	2.256984	-1.465702	-0.1779664	2.226333	-0.9355022	-0.1482811	2.211542	0.8896061	-0.390662	0.2364085	0.009756515	0.9630697	0.1700498	-0.1248916	-0.1672779	Tracked	Tracked
