timestamp	personID	ShoulderLeft.X	ShoulderLeft.Y	ShoulderLeft.Z	ShoulderRight.X	ShoulderRight.Y	ShoulderRight.Z	ElbowLeft.X	ElbowLeft.Y	ElbowLeft.Z	ElbowRight.X	ElbowRight.Y	ElbowRight.Z	WristLeft.X	WristLeft.Y	WristLeft.Z	WristRight.X	WristRight.Y	WristRight.Z	HandLeft.X	HandLeft.Y	HandLeft.Z	HandRight.X	HandRight.Y	HandRight.Z	Head.X	Head.Y	Head.Z	Neck.X	Neck.Y	Neck.Z	SpineShoulder.X	SpineShoulder.Y	SpineShoulder.Z	SpineMid.X	SpineMid.Y	SpineMid.Z	HandTipLeft.X	HandTipLeft.Y	HandTipLeft.Z	HandTipRight.X	HandTipRight.Y	HandTipRight.Z	ThumbLeft.X	ThumbLeft.Y	ThumbLeft.Z	ThumbRight.X	ThumbRight.Y	ThumbRight.Z	HandLeftOri.X	HandLeftOri.Y	HandLeftOri.Z	HandLeftOri.W	HandRightOri.X	HandRightOri.Y	HandRightOri.Z	HandRightOri.W	HandLeftStatus	HandRightStatus
05/30 04:50:56.173 PM	1	-0.462253	0.1215722	3.124198	-0.1303947	0.1491653	3.243638	-0.5172722	-0.08923118	3.08917	-0.05563462	-0.05643706	3.237657	-0.258517	-0.0632418	2.951746	-0.142533	-0.1137618	3.004159	-0.2035603	-0.05844476	2.936624	-0.1701385	-0.1118878	2.98806	-0.3126906	0.3952167	3.194346	-0.3176506	0.245989	3.199162	-0.3095995	0.1699639	3.198093	-0.2841597	-0.06148522	3.185407	-0.1529272	-0.06887862	2.907745	-0.1740363	-0.101361	2.928903	-0.1969709	-0.09207831	2.910412	-0.2061551	-0.1189136	3.0195	0.5133875	0.6656646	-0.4410234	0.3143601	-0.1019336	-0.2690627	0.6784828	0.6759259	Tracked	Inferred
05/30 04:50:56.202 PM	1	-0.4621927	0.1215832	3.12404	-0.1310315	0.1496372	3.243313	-0.5173068	-0.08890144	3.088884	-0.05585908	-0.05642449	3.237746	-0.2591389	-0.06267194	2.950334	-0.1650744	-0.08189116	2.969001	-0.2055897	-0.05866947	2.93375	-0.1981574	-0.06317674	2.935359	-0.3127316	0.395242	3.194393	-0.317721	0.2460323	3.199306	-0.3096532	0.1699986	3.198205	-0.2841785	-0.06147154	3.185448	-0.1529102	-0.07057006	2.907412	-0.2453481	-0.05363985	2.921785	-0.2054021	-0.08676064	2.907527	-0.2613211	-0.0691966	2.9225	0.5229749	0.6753166	-0.4369082	0.2820567	-0.2317711	-0.2980272	0.5117981	0.7717023	Tracked	Tracked
05/30 04:50:56.248 PM	1	-0.4621533	0.1216132	3.123901	-0.1316535	0.1500501	3.243285	-0.5171297	-0.08795425	3.088149	-0.05584703	-0.05650517	3.237303	-0.2594161	-0.06134536	2.948777	-0.1447015	-0.1036736	2.979858	-0.2129572	-0.05598037	2.938893	-0.1909619	-0.06891395	2.93935	-0.3126955	0.3952217	3.194435	-0.3178577	0.2461487	3.199208	-0.309753	0.1700891	3.198131	-0.2842037	-0.06144032	3.185425	-0.1511713	-0.07276782	2.904612	-0.233139	-0.06061998	2.923705	-0.2151333	-0.08360417	2.909765	-0.2448097	-0.0571197	2.9155	0.5443364	0.6854202	-0.3841608	0.2937986	-0.2343527	-0.201549	0.4461224	0.8398998	Tracked	Tracked
05/30 04:50:56.269 PM	1	-0.4621437	0.1216456	3.123779	-0.1320474	0.1505105	3.243481	-0.5172135	-0.08802131	3.088035	-0.05619258	-0.05626184	3.237684	-0.2580357	-0.0613127	2.95161	-0.1414537	-0.107266	2.986553	-0.2112163	-0.05614888	2.937894	-0.1828513	-0.07206628	2.939998	-0.3127111	0.3952633	3.194411	-0.3178746	0.2463387	3.199239	-0.3097678	0.1702699	3.198159	-0.2842135	-0.06129173	3.185442	-0.146188	-0.07394563	2.911663	-0.2245423	-0.0662178	2.923141	-0.2169784	-0.08283784	2.910964	-0.2412813	-0.07714311	2.921	0.5271852	0.6909173	-0.41164	0.2743382	-0.22134	-0.3278229	0.4528208	0.7990583	Tracked	Tracked
05/30 04:50:56.307 PM	1	-0.4620717	0.1217039	3.123764	-0.1321555	0.1504269	3.243755	-0.5171858	-0.08794901	3.087939	-0.05676586	-0.05761979	3.238251	-0.2576905	-0.06108186	2.952193	-0.1576431	-0.09438476	2.969438	-0.2121466	-0.05687899	2.939274	-0.1880781	-0.0681555	2.941209	-0.3127354	0.3952961	3.194417	-0.317898	0.2463481	3.19925	-0.3097797	0.1702788	3.198173	-0.284191	-0.06127538	3.18549	-0.1482741	-0.07960534	2.919081	-0.2237665	-0.058667	2.91933	-0.210443	-0.08524729	2.909285	-0.2255067	-0.03829021	2.923375	0.5134894	0.6705011	-0.4383069	0.3076425	-0.3177941	-0.02539946	0.3632138	0.8754642	Tracked	Tracked
05/30 04:50:56.340 PM	1	-0.4620771	0.1216968	3.12376	-0.1322343	0.1504493	3.243812	-0.5173263	-0.08817552	3.087947	-0.05701937	-0.05806316	3.237136	-0.2576357	-0.06049987	2.952773	-0.1461502	-0.1047568	2.982888	-0.2127526	-0.0563346	2.939233	-0.1887944	-0.07084927	2.940035	-0.3128183	0.3953748	3.194381	-0.3179994	0.2463265	3.199272	-0.3098521	0.1702637	3.198197	-0.2842101	-0.06128	3.185517	-0.1479548	-0.0751873	2.923065	-0.2254539	-0.06387855	2.921836	-0.2021368	-0.09103144	2.911444	-0.2465035	-0.07843859	2.92	0.519704	0.6797159	-0.4308806	0.2867679	-0.2152244	-0.2942096	0.4572652	0.8111891	Tracked	Tracked
05/30 04:50:56.380 PM	1	-0.4621302	0.1218487	3.123859	-0.1326502	0.1508159	3.243942	-0.5157233	-0.08791667	3.086807	-0.05720782	-0.0578763	3.237275	-0.2557459	-0.06042042	2.952191	-0.156026	-0.09736	2.974843	-0.2113116	-0.05757595	2.939754	-0.1921894	-0.06876159	2.939217	-0.3128245	0.3953784	3.194384	-0.3179799	0.2463811	3.199398	-0.3098454	0.1703252	3.198311	-0.2842378	-0.06119673	3.185602	-0.1472646	-0.07841138	2.917746	-0.2326217	-0.06058671	2.922442	-0.1958142	-0.09297916	2.9084	-0.2424606	-0.05724216	2.921428	0.5296885	0.6670075	-0.4343562	0.2930286	-0.2774985	-0.1677738	0.4214009	0.8469166	Inferred	Tracked
05/30 04:50:56.416 PM	1	-0.4621525	0.1218211	3.123847	-0.1327885	0.1509936	3.244017	-0.5161613	-0.08813285	3.086931	-0.05741424	-0.05823119	3.237249	-0.2575154	-0.06034213	2.949664	-0.1588195	-0.09442993	2.971342	-0.2133619	-0.05596564	2.941138	-0.1866015	-0.07034006	2.942861	-0.3128908	0.395431	3.194395	-0.3182847	0.2466154	3.19925	-0.3100559	0.1705204	3.198212	-0.2842703	-0.0610929	3.185593	-0.1519183	-0.07313187	2.919012	-0.2276483	-0.06717165	2.925979	-0.1907931	-0.09636583	2.917231	-0.249542	-0.07723306	2.9245	0.4831797	0.6204098	-0.4670172	0.4043808	-0.2247665	-0.2759204	0.4364762	0.8263391	Tracked	Tracked
05/30 04:50:56.451 PM	1	-0.4621565	0.1218269	3.123842	-0.13279	0.1508091	3.244244	-0.5163492	-0.08843079	3.087224	-0.05750287	-0.05788516	3.237617	-0.2567291	-0.05994544	2.952089	-0.1626455	-0.09916025	2.966596	-0.1995201	-0.06149204	2.94333	-0.1928847	-0.06907514	2.944453	-0.3130575	0.3955067	3.194545	-0.3184722	0.2465431	3.199426	-0.3101875	0.1704669	3.19837	-0.284282	-0.06111243	3.185719	-0.1535057	-0.0784361	2.921348	-0.2318514	-0.0612885	2.925236	-0.2029849	-0.09227468	2.919439	-0.2475205	-0.08145191	2.932333	0.5556861	0.6014463	-0.4522938	0.3534199	-0.1249658	-0.2997458	0.4139955	0.8503786	Inferred	Tracked
05/30 04:50:56.490 PM	1	-0.4622887	0.1218623	3.12382	-0.1328219	0.1506256	3.244293	-0.5165038	-0.08818271	3.087466	-0.05752143	-0.05782175	3.237671	-0.2577747	-0.05936909	2.95059	-0.164317	-0.1018152	2.966217	-0.2035795	-0.05973245	2.938426	-0.1882842	-0.07007643	2.939914	-0.3131312	0.3955394	3.194508	-0.318601	0.2464737	3.199442	-0.3103096	0.1704038	3.198396	-0.2843769	-0.06116056	3.185774	-0.1514457	-0.06812694	2.909612	-0.2277192	-0.06490631	2.91019	-0.2003534	-0.09119951	2.911036	-0.2384482	-0.05452607	2.918667	0.5561104	0.6349052	-0.4404681	0.3059811	-0.2377957	-0.1912948	0.3326289	0.8923103	Tracked	Tracked
