timestamp	personID	ShoulderLeft.X	ShoulderLeft.Y	ShoulderLeft.Z	ShoulderRight.X	ShoulderRight.Y	ShoulderRight.Z	ElbowLeft.X	ElbowLeft.Y	ElbowLeft.Z	ElbowRight.X	ElbowRight.Y	ElbowRight.Z	WristLeft.X	WristLeft.Y	WristLeft.Z	WristRight.X	WristRight.Y	WristRight.Z	HandLeft.X	HandLeft.Y	HandLeft.Z	HandRight.X	HandRight.Y	HandRight.Z	Head.X	Head.Y	Head.Z	Neck.X	Neck.Y	Neck.Z	SpineShoulder.X	SpineShoulder.Y	SpineShoulder.Z	SpineMid.X	SpineMid.Y	SpineMid.Z	HandTipLeft.X	HandTipLeft.Y	HandTipLeft.Z	HandTipRight.X	HandTipRight.Y	HandTipRight.Z	ThumbLeft.X	ThumbLeft.Y	ThumbLeft.Z	ThumbRight.X	ThumbRight.Y	ThumbRight.Z	HandLeftOri.X	HandLeftOri.Y	HandLeftOri.Z	HandLeftOri.W	HandRightOri.X	HandRightOri.Y	HandRightOri.Z	HandRightOri.W	HandLeftStatus	HandRightStatus
05/30 04:45:42.100 PM	2	-1.143073	0.1227681	2.915002	-0.8410071	0.1315699	3.092122	-1.204193	-0.1216917	2.878917	-0.7779233	-0.134394	3.144808	-1.138945	-0.3799574	2.7812	-0.7108512	-0.3631627	3.049869	-1.105523	-0.4479087	2.754997	-0.7049668	-0.442435	3.003424	-0.9935834	0.3878118	3.000145	-1.007108	0.2404542	3.014717	-1.004665	0.1625228	3.018002	-0.9942454	-0.07481657	3.019021	-1.086644	-0.5147997	2.751717	-0.7020386	-0.509613	2.989066	-1.073614	-0.4423377	2.776533	-0.7243086	-0.4574784	2.985545	0.3504527	-0.07928866	0.8950873	-0.264036	-0.4733662	-0.2440954	0.8405067	0.09945036	Tracked	Tracked
05/30 04:45:42.107 PM	3	0.2682202	-0.117134	3.216265	0.5457023	-0.1318054	3.355159	0.1805487	-0.2963495	3.177908	0.5932053	-0.3189554	3.289584	0.4034353	-0.1895369	3.099719	0.4333144	-0.189309	3.131409	0.4202209	-0.2077587	3.114485	0.400788	-0.183105	3.102015	0.4215878	0.09837134	3.26795	0.3941915	-0.02343781	3.300162	0.3988945	-0.09244967	3.302825	0.4121651	-0.3017942	3.302218	0.457206	-0.2184623	3.122449	0.3806078	-0.1636831	3.082449	0.3978009	-0.1805343	3.062796	0.4024696	-0.1458797	3.0795	0.6086921	0.4264858	0.6673757	-0.04704675	0.6303201	-0.3990112	-0.1806611	-0.6409744	Inferred	Inferred
05/30 04:45:42.122 PM	2	-1.143162	0.1224264	2.915543	-0.8410965	0.1304287	3.09481	-1.201931	-0.1204086	2.879898	-0.7795495	-0.1371282	3.142584	-1.122753	-0.3749776	2.782604	-0.7126717	-0.3608268	3.047353	-1.07679	-0.4343742	2.753284	-0.7125377	-0.4368855	2.995834	-0.9939519	0.3878607	3.002203	-1.007515	0.2405562	3.016433	-1.004869	0.1625736	3.019609	-0.9939016	-0.07489324	3.020343	-1.050373	-0.4991171	2.75135	-0.7081373	-0.5008109	2.975061	-1.084934	-0.4298836	2.765812	-0.7324825	-0.428895	2.974056	-0.1850475	-0.251985	0.9132981	-0.2610507	0.7284055	0.1905492	-0.6191894	-0.2229815	Tracked	Tracked
05/30 04:45:42.123 PM	3	0.2687975	-0.1173974	3.21637	0.5466497	-0.1328301	3.351323	0.1797818	-0.2961217	3.179348	0.5943351	-0.3207827	3.289101	0.4027424	-0.1890762	3.098801	0.4336439	-0.1881284	3.131026	0.4182988	-0.2077095	3.115787	0.3977847	-0.1804926	3.101689	0.4208787	0.09839972	3.268342	0.3939097	-0.02420225	3.300763	0.3987286	-0.09316117	3.30336	0.4122716	-0.302328	3.302549	0.4581874	-0.2231974	3.129198	0.3827675	-0.1626912	3.084074	0.4021589	-0.1752712	3.064068	0.4027259	-0.1433343	3.086495	0.5799874	0.430322	0.6914378	-0.01874601	0.605399	-0.3816792	-0.2284366	-0.6600225	Inferred	Inferred
05/30 04:45:42.156 PM	2	-1.14327	0.1223313	2.915687	-0.8412438	0.1300547	3.095329	-1.200297	-0.1164119	2.881451	-0.7807753	-0.1386465	3.139283	-1.100284	-0.3581072	2.780677	-0.7192081	-0.3653563	3.032057	-1.044603	-0.4198054	2.766274	-0.7211737	-0.440897	2.986465	-0.9943072	0.3880116	3.00386	-1.007283	0.2405452	3.018204	-1.004443	0.1625466	3.021227	-0.9928597	-0.07496606	3.021587	-1.01945	-0.4770458	2.747295	-0.7211404	-0.5117197	2.976375	-1.082265	-0.4631317	2.7592	-0.747962	-0.4449587	2.965	-0.4472595	-0.2509829	0.8159045	-0.2669573	-0.6109509	-0.1999773	0.7447881	0.1789939	Tracked	Tracked
05/30 04:45:42.158 PM	3	0.2688975	-0.1175768	3.216495	0.5466771	-0.1331823	3.350871	0.179976	-0.2965254	3.181076	0.5945862	-0.3208157	3.287613	0.401948	-0.1906518	3.097814	0.4340644	-0.189021	3.12954	0.4195009	-0.2086884	3.114819	0.3989287	-0.1815408	3.101494	0.4205358	0.09826317	3.267737	0.393503	-0.02433329	3.300739	0.3984603	-0.09330175	3.303332	0.412239	-0.3024837	3.302496	0.4575355	-0.2186214	3.1247	0.3765596	-0.1658609	3.080488	0.399914	-0.1780633	3.063511	0.402534	-0.1450349	3.082067	0.5774	0.4485024	0.6808201	-0.04403334	0.6090071	-0.402027	-0.2168962	-0.6484141	Inferred	Inferred
05/30 04:45:42.197 PM	2	-1.143518	0.1223281	2.916079	-0.8412723	0.1293471	3.098212	-1.199915	-0.1057806	2.883111	-0.7836152	-0.1410867	3.136886	-1.089629	-0.3461264	2.785985	-0.7234933	-0.367561	3.025269	-1.035854	-0.3914605	2.754414	-0.7314833	-0.4414456	2.978268	-0.9943994	0.3881225	3.005248	-1.007679	0.2404976	3.019419	-1.004707	0.1624863	3.022295	-0.9928077	-0.0750469	3.022209	-0.9934874	-0.44983	2.737201	-0.7232664	-0.5063234	2.966183	-1.040188	-0.4136779	2.7215	-0.7604826	-0.4382723	2.960438	0.7924871	0.4531448	-0.4074042	-0.02541537	0.7166767	0.1498019	-0.6375762	-0.2396467	Tracked	Tracked
05/30 04:45:42.198 PM	3	0.2690521	-0.1179436	3.216752	0.546749	-0.1334995	3.350496	0.1795255	-0.2968851	3.184278	0.5943219	-0.3206819	3.285147	0.4013303	-0.1913077	3.098077	0.4342626	-0.1904677	3.127079	0.4166113	-0.2071092	3.112609	0.3992973	-0.1824692	3.100682	0.4202814	0.09523731	3.267359	0.3937346	-0.02502678	3.300709	0.3985589	-0.09394311	3.303249	0.4119845	-0.3030737	3.302207	0.4583015	-0.2203618	3.129613	0.3793615	-0.1660334	3.081628	0.3931985	-0.1790245	3.062452	0.4026296	-0.1462102	3.083017	0.5708977	0.4442911	0.6884042	-0.05273353	0.6000217	-0.4124045	-0.2239906	-0.6478617	Inferred	Inferred
05/30 04:45:42.231 PM	2	-1.143556	0.1224756	2.916733	-0.8416107	0.1293859	3.098502	-1.200385	-0.1012648	2.884929	-0.7852618	-0.1416626	3.135438	-1.072279	-0.3331358	2.784707	-0.7388355	-0.3813287	3.004209	-1.018759	-0.3744987	2.759386	-0.7433579	-0.443362	2.96895	-0.994285	0.3880798	3.007195	-1.007755	0.2404816	3.020238	-1.004715	0.1625282	3.023077	-0.9926043	-0.07484413	3.022844	-0.9746542	-0.4305612	2.745684	-0.741226	-0.5096396	2.954015	-1.021122	-0.3786562	2.720333	-0.7708651	-0.4378473	2.9505	0.8323593	0.4603628	-0.3058197	-0.04145408	-0.6797988	-0.1583277	0.6867989	0.2027637	Tracked	Tracked
05/30 04:45:42.233 PM	3	0.2691647	-0.1181024	3.216925	0.5468096	-0.1336473	3.350333	0.1790574	-0.2967883	3.184802	0.5947198	-0.320691	3.284804	0.4010776	-0.1905653	3.097492	0.4342827	-0.1893311	3.127076	0.4171682	-0.2076714	3.112914	0.3995225	-0.1836444	3.101221	0.4201064	0.09530848	3.267214	0.393544	-0.02524625	3.300695	0.3983056	-0.09419152	3.303231	0.4115216	-0.3033659	3.30215	0.4571695	-0.2184452	3.1222	0.3809762	-0.1620975	3.082546	0.3943616	-0.1774388	3.064816	0.3992209	-0.1396185	3.088924	0.5809646	0.4399404	0.683305	-0.04502241	-0.5807298	0.3185162	0.3125349	0.6808981	Inferred	Inferred
05/30 04:45:42.273 PM	2	-1.143593	0.1229706	2.917364	-0.8418755	0.1289046	3.099521	-1.200088	-0.09608361	2.885597	-0.7873749	-0.1430868	3.133428	-1.059704	-0.3233658	2.786321	-0.7459242	-0.3620055	3.003845	-0.9920663	-0.3690647	2.78223	-0.7554587	-0.428804	2.960372	-0.9941552	0.3880707	3.008783	-1.00793	0.2405265	3.020881	-1.00486	0.1625933	3.023644	-0.9926545	-0.07474281	3.023154	-0.943909	-0.4079499	2.756747	-0.7471139	-0.4932795	2.942416	-0.9723489	-0.3422588	2.727588	-0.7863438	-0.4414966	2.945313	0.7996174	0.4124044	0.3744064	-0.2243982	-0.5807255	-0.187251	0.760828	0.2209882	Tracked	Tracked
