timestamp	personID	ShoulderLeft.X	ShoulderLeft.Y	ShoulderLeft.Z	ShoulderRight.X	ShoulderRight.Y	ShoulderRight.Z	ElbowLeft.X	ElbowLeft.Y	ElbowLeft.Z	ElbowRight.X	ElbowRight.Y	ElbowRight.Z	WristLeft.X	WristLeft.Y	WristLeft.Z	WristRight.X	WristRight.Y	WristRight.Z	HandLeft.X	HandLeft.Y	HandLeft.Z	HandRight.X	HandRight.Y	HandRight.Z	Head.X	Head.Y	Head.Z	Neck.X	Neck.Y	Neck.Z	SpineShoulder.X	SpineShoulder.Y	SpineShoulder.Z	SpineMid.X	SpineMid.Y	SpineMid.Z	HandTipLeft.X	HandTipLeft.Y	HandTipLeft.Z	HandTipRight.X	HandTipRight.Y	HandTipRight.Z	ThumbLeft.X	ThumbLeft.Y	ThumbLeft.Z	ThumbRight.X	ThumbRight.Y	ThumbRight.Z	HandLeftOri.X	HandLeftOri.Y	HandLeftOri.Z	HandLeftOri.W	HandRightOri.X	HandRightOri.Y	HandRightOri.Z	HandRightOri.W	HandLeftStatus	HandRightStatus
05/29 04:04:55.268 PM	0	-1.317058	0.02114359	2.505156	-1.147429	-0.01313282	2.772249	-1.385492	-0.1939497	2.451593	-1.161217	-0.2801721	2.783836	-1.349204	-0.476346	2.421378	-1.109281	-0.5597792	2.753266	-1.330877	-0.5406281	2.421029	-1.106649	-0.6483604	2.74433	-1.180463	0.2725941	2.601928	-1.227542	0.1304937	2.593267	-1.229864	0.05353548	2.606821	-1.233356	-0.1819094	2.63796	-1.324513	-0.6160114	2.401081	-1.098606	-0.7296948	2.758337	-1.359874	-0.5665209	2.391704	-1.111499	-0.6440864	2.682089	0.7838453	0.1111671	-0.605326	0.08251587	0.9807642	0.02398715	-0.188041	-0.04655013	Tracked	Tracked
05/29 04:04:55.272 PM	1	-0.2131694	0.06281263	3.258585	0.07109087	0.0786961	3.318446	-0.4238631	-0.04240549	3.299278	0.2206433	-0.09633951	3.417186	-0.3751209	-0.2466578	3.296695	0.1593107	-0.2938395	3.370265	-0.3222547	-0.2532781	3.281688	0.08550739	-0.297726	3.363024	-0.0546113	0.2962151	3.318197	-0.07185423	0.1716055	3.296865	-0.07429183	0.1019744	3.302758	-0.08155291	-0.1096009	3.311377	-0.2872633	-0.299822	3.264567	0.06132461	-0.3111846	3.336612	-0.2889565	-0.2469025	3.238445	0.07927812	-0.2917165	3.3225	0.668327	0.4886692	0.3363637	-0.4487771	0.7089279	-0.6552978	-0.1535892	-0.2107517	Tracked	Inferred
05/29 04:04:55.323 PM	0	-1.317608	0.02092882	2.505682	-1.147412	-0.01311522	2.772226	-1.385926	-0.1932991	2.452023	-1.161298	-0.2801255	2.783794	-1.349276	-0.4756975	2.422361	-1.109967	-0.5598427	2.753343	-1.334031	-0.541114	2.424353	-1.107606	-0.6502499	2.747571	-1.180467	0.2725331	2.602004	-1.22768	0.1301409	2.593336	-1.230158	0.05314791	2.60694	-1.2342	-0.1822384	2.638332	-1.334723	-0.6206048	2.406323	-1.101821	-0.7302998	2.764697	-1.375473	-0.6070138	2.408834	-1.112573	-0.6560656	2.690214	-0.6482511	-0.0632173	0.7526671	-0.0962611	0.9829807	0.01857275	-0.1804539	-0.02899171	Tracked	Tracked
05/29 04:04:55.326 PM	1	-0.222893	0.0604879	3.263619	0.06237947	0.07671281	3.320007	-0.4306864	-0.0431892	3.307255	0.2159468	-0.09813253	3.416975	-0.3939013	-0.2494983	3.310654	0.1510899	-0.2953939	3.375282	-0.3330901	-0.2510373	3.28937	0.07905792	-0.2962075	3.361053	-0.06891403	0.2960103	3.320182	-0.07846673	0.1706897	3.298825	-0.08169134	0.1007966	3.305093	-0.09154041	-0.1116942	3.315028	-0.3143179	-0.3580888	3.269536	0.06619148	-0.3126753	3.352611	-0.3002878	-0.2526594	3.246786	0.07454588	-0.2891284	3.338778	0.604871	0.434159	0.3821927	-0.547326	0.5578516	-0.4567499	-0.4408418	-0.5346398	Tracked	Inferred
05/29 04:04:55.360 PM	0	-1.318191	0.02093808	2.506122	-1.147419	-0.01311706	2.772249	-1.386403	-0.1931088	2.452619	-1.161315	-0.2801376	2.783772	-1.349487	-0.4754636	2.422702	-1.110478	-0.5599659	2.753767	-1.33477	-0.5403218	2.423913	-1.108251	-0.6501296	2.747957	-1.180535	0.2723631	2.601985	-1.227924	0.1297032	2.593408	-1.23054	0.05266864	2.607053	-1.234896	-0.1826591	2.638602	-1.330242	-0.6166285	2.403173	-1.100904	-0.7307085	2.771106	-1.379173	-0.5489808	2.417428	-1.110506	-0.6675469	2.696	-0.6866713	-0.07030301	0.718336	-0.08679532	0.9853146	0.01753538	-0.167239	-0.02964429	Tracked	Tracked
05/29 04:04:55.365 PM	1	-0.2367389	0.06094348	3.267676	0.05134109	0.07084058	3.319128	-0.4413547	-0.04620371	3.319344	0.2071247	-0.0972806	3.417606	-0.3806584	-0.2474811	3.311617	0.1434138	-0.2953211	3.378721	-0.3267643	-0.2666225	3.283829	0.07147048	-0.2933553	3.354624	-0.07937556	0.2949634	3.320097	-0.08773572	0.1696498	3.299416	-0.0910309	0.09951994	3.305811	-0.1008404	-0.1136061	3.316056	-0.3217997	-0.3742504	3.255525	0.05678939	-0.3021395	3.337115	-0.3014353	-0.2687496	3.244267	0.05883618	-0.2850271	3.32325	0.687436	0.306149	0.4218399	-0.5057229	0.637257	-0.527379	-0.2845227	-0.4845841	Inferred	Inferred
05/29 04:04:55.396 PM	0	-1.318785	0.02071819	2.506263	-1.147385	-0.01323288	2.772303	-1.388289	-0.1957153	2.453689	-1.161499	-0.2807008	2.783678	-1.350006	-0.4778379	2.422708	-1.110772	-0.5605757	2.754103	-1.33498	-0.5411952	2.424202	-1.108607	-0.6504791	2.748982	-1.180766	0.272021	2.601956	-1.228445	0.1291184	2.593486	-1.231194	0.05203028	2.607181	-1.235746	-0.1832619	2.638901	-1.33013	-0.6162826	2.401068	-1.101704	-0.7317153	2.77304	-1.370433	-0.5362954	2.402423	-1.110599	-0.6573281	2.69045	0.7957339	0.08614983	-0.5942925	0.07875332	0.9862311	0.01648234	-0.162465	-0.02610926	Tracked	Tracked
05/29 04:04:55.400 PM	1	-0.2441505	0.06298417	3.269855	0.04418317	0.07187197	3.318791	-0.4505555	-0.04193017	3.328036	0.1983103	-0.09267917	3.41713	-0.4136471	-0.2477562	3.336938	0.1173689	-0.2846361	3.379921	-0.3584509	-0.2525296	3.30748	0.05773212	-0.2879367	3.354255	-0.08597668	0.2950018	3.320758	-0.09520067	0.171435	3.300483	-0.09855934	0.1011191	3.307098	-0.1085516	-0.1125417	3.317982	-0.3485672	-0.2623159	3.297059	0.02929317	-0.3003345	3.317116	-0.3313197	-0.2460596	3.26	0.03523691	-0.2859698	3.308	0.6964984	0.4690004	0.2300589	-0.4919364	0.7139705	-0.5763452	-0.1250248	-0.3774135	Inferred	Inferred
05/29 04:04:55.445 PM	0	-1.319762	0.020508	2.506712	-1.147408	-0.01324593	2.772131	-1.389997	-0.196404	2.454715	-1.161804	-0.2809314	2.783609	-1.350989	-0.4784462	2.42376	-1.112112	-0.56073	2.750466	-1.333956	-0.5427554	2.424539	-1.109929	-0.6507161	2.749451	-1.18107	0.2717287	2.601928	-1.228948	0.1289694	2.593757	-1.231808	0.0518495	2.607506	-1.236547	-0.1834535	2.639381	-1.332192	-0.6178148	2.405686	-1.101521	-0.7323877	2.772462	-1.365336	-0.5742015	2.396762	-1.113969	-0.6608949	2.692665	0.7735171	0.09700426	-0.6204616	0.08537547	0.9820582	0.01297444	-0.1881028	-0.003256679	Tracked	Tracked
05/29 04:04:55.452 PM	1	-0.2557115	0.06555926	3.272422	0.03508255	0.07281507	3.316879	-0.4562714	-0.04237102	3.333637	0.1923301	-0.09202362	3.419733	-0.400979	-0.2448153	3.334949	0.1086018	-0.2827801	3.382449	-0.3486637	-0.2517044	3.296602	0.04831155	-0.2802688	3.351993	-0.09550677	0.2972313	3.321693	-0.1067862	0.1755422	3.303255	-0.1096365	0.1047687	3.309805	-0.1181044	-0.1101464	3.320468	-0.3251648	-0.3362095	3.258874	0.01565683	-0.2993855	3.306617	-0.3100513	-0.2343488	3.252	0.03969548	-0.2688275	3.333	0.6583409	0.2938427	0.3455349	-0.6007074	-0.4174644	0.1273861	0.5542081	0.7087664	Tracked	Inferred
