timestamp	personID	ShoulderLeft.X	ShoulderLeft.Y	ShoulderLeft.Z	ShoulderRight.X	ShoulderRight.Y	ShoulderRight.Z	ElbowLeft.X	ElbowLeft.Y	ElbowLeft.Z	ElbowRight.X	ElbowRight.Y	ElbowRight.Z	WristLeft.X	WristLeft.Y	WristLeft.Z	WristRight.X	WristRight.Y	WristRight.Z	HandLeft.X	HandLeft.Y	HandLeft.Z	HandRight.X	HandRight.Y	HandRight.Z	Head.X	Head.Y	Head.Z	Neck.X	Neck.Y	Neck.Z	SpineShoulder.X	SpineShoulder.Y	SpineShoulder.Z	SpineMid.X	SpineMid.Y	SpineMid.Z	HandTipLeft.X	HandTipLeft.Y	HandTipLeft.Z	HandTipRight.X	HandTipRight.Y	HandTipRight.Z	ThumbLeft.X	ThumbLeft.Y	ThumbLeft.Z	ThumbRight.X	ThumbRight.Y	ThumbRight.Z	HandLeftOri.X	HandLeftOri.Y	HandLeftOri.Z	HandLeftOri.W	HandRightOri.X	HandRightOri.Y	HandRightOri.Z	HandRightOri.W	HandLeftStatus	HandRightStatus
05/29 05:28:03.958 PM	0	-0.4305654	-0.01602561	2.480274	-0.1106502	-0.01285954	2.459984	-0.5889825	-0.1095583	2.592388	0.0596326	-0.1131956	2.559364	-0.4768456	-0.2616161	2.48629	-0.02977587	-0.2733095	2.444831	-0.4044527	-0.31238	2.447481	-0.118881	-0.3342013	2.431262	-0.2836488	0.2125722	2.470827	-0.2624671	0.05899515	2.473486	-0.2625452	-0.009893317	2.47677	-0.261629	-0.2195546	2.477418	-0.3753376	-0.3641472	2.39854	-0.1216196	-0.3847497	2.389772	-0.3830218	-0.2553076	2.406	-0.1007828	-0.3607737	2.4224	0.7920295	0.2922061	0.368173	-0.3895555	0.3968902	-0.2715323	0.7889109	0.3825807	Inferred	Inferred
05/29 05:28:03.962 PM	2	-1.274043	0.3257588	2.311326	-1.020153	0.3427924	2.399205	-1.399788	0.09152462	2.427961	-0.995286	0.1082584	2.45687	-1.20322	-0.02012469	2.210093	-1.045417	-0.1004459	2.512336	-1.149897	-0.01282208	2.232037	-1.063604	-0.1698257	2.534478	-1.16247	0.591378	2.391285	-1.181328	0.4619915	2.377784	-1.180724	0.3890938	2.380815	-1.174808	0.1658838	2.382047	-1.090219	-0.08573039	2.232562	-1.064443	-0.1748347	2.536631	-1.191182	-0.05361009	2.187267	-1.055238	-0.170306	2.523539	0.5768471	0.4657238	-0.323151	0.5881516	-0.02281111	0.1531912	0.9806216	0.1199728	Inferred	Inferred
05/29 05:28:03.977 PM	0	-0.4294251	-0.01701326	2.479231	-0.1106842	-0.01194516	2.459001	-0.5893933	-0.1063761	2.593709	0.05902409	-0.1062631	2.557051	-0.484042	-0.2649802	2.490674	-0.0516642	-0.2498684	2.438854	-0.4081864	-0.3166112	2.455183	-0.1305522	-0.2889014	2.430476	-0.2836933	0.2125799	2.470781	-0.2618944	0.05913436	2.47397	-0.2621267	-0.009790945	2.477085	-0.2615326	-0.2195235	2.477464	-0.3846591	-0.3697362	2.411608	-0.1510107	-0.3516594	2.381988	-0.3968879	-0.2590751	2.43	-0.1064209	-0.3293666	2.442714	0.7856437	0.3071234	0.3809964	-0.3785246	0.4170301	-0.3067492	0.7394763	0.4303087	Inferred	Tracked
05/29 05:28:03.981 PM	2	-1.274908	0.3259038	2.310965	-1.02009	0.3427809	2.399358	-1.399832	0.09173101	2.428032	-0.9952422	0.1082409	2.456935	-1.202978	-0.01954422	2.210206	-1.045323	-0.1005045	2.512352	-1.150108	-0.01339162	2.232423	-1.063493	-0.169898	2.534478	-1.162519	0.5914829	2.391435	-1.18135	0.4619417	2.377791	-1.180737	0.3890647	2.380838	-1.174798	0.1658966	2.382179	-1.097103	-0.0793108	2.235115	-1.064332	-0.1749067	2.53663	-1.185748	-0.06394284	2.201165	-1.0552	-0.1703282	2.523534	0.5783003	0.4489424	-0.3350103	0.5931168	-0.02287387	0.1530728	0.9806548	0.1198404	Inferred	Inferred
05/29 05:28:04.020 PM	0	-0.4318522	-0.0136144	2.482949	-0.1109493	-0.01080188	2.457695	-0.5885096	-0.09963918	2.596633	0.05859582	-0.1008913	2.553629	-0.4636301	-0.2340265	2.480242	-0.0517278	-0.2483028	2.440231	-0.3986325	-0.2760181	2.439641	-0.1314323	-0.2906542	2.42957	-0.2837071	0.2125053	2.470729	-0.261921	0.05923946	2.473898	-0.2621446	-0.009631233	2.476998	-0.2615304	-0.2191146	2.47735	-0.3530931	-0.3265271	2.386704	-0.150944	-0.3515143	2.380988	-0.3657815	-0.2728738	2.376875	-0.1094217	-0.3393688	2.4239	0.8006799	0.3034224	0.3149201	-0.4094778	0.4590819	-0.3324559	0.7226603	0.3955743	Tracked	Tracked
05/29 05:28:04.023 PM	2	-1.274815	0.3258682	2.311131	-1.020097	0.3427547	2.399312	-1.40017	0.09184247	2.42831	-0.9951648	0.1083034	2.457013	-1.203134	-0.01912108	2.210466	-1.045347	-0.100464	2.512319	-1.147854	-0.01486784	2.233609	-1.06355	-0.1698647	2.534407	-1.162406	0.5918326	2.392278	-1.181317	0.462074	2.378151	-1.180698	0.3891886	2.381186	-1.174749	0.1659777	2.382445	-1.094553	-0.08241506	2.235202	-1.064389	-0.1748736	2.53656	-1.179566	-0.07105151	2.208517	-1.055215	-0.1703171	2.523507	0.5843107	0.4330946	-0.3509761	0.5897677	-0.02283035	0.152809	0.9806684	0.1200737	Inferred	Inferred
05/29 05:28:04.058 PM	0	-0.4340276	-0.01173694	2.485555	-0.1116788	-0.009893531	2.455597	-0.5883173	-0.09853067	2.598391	0.05912721	-0.0989873	2.552279	-0.4735805	-0.2465314	2.48901	-0.05207703	-0.2469069	2.440536	-0.4022048	-0.2905602	2.443952	-0.1326017	-0.2915783	2.428009	-0.2837343	0.2124178	2.471016	-0.2619743	0.05931262	2.473664	-0.2621894	-0.009519597	2.476769	-0.2615774	-0.2188665	2.477144	-0.3710891	-0.3427868	2.396932	-0.1511964	-0.3520844	2.384868	-0.3739614	-0.303014	2.385167	-0.1072451	-0.3264838	2.4435	0.788067	0.2965729	0.3319517	-0.4252093	0.3990581	-0.3029181	0.7622945	0.4097565	Inferred	Tracked
05/29 05:28:04.059 PM	2	-1.274296	0.3254801	2.311432	-1.019895	0.3427627	2.399757	-1.400207	0.09185194	2.428331	-0.9950904	0.1085628	2.457126	-1.203077	-0.01900965	2.210499	-1.045149	-0.1002717	2.512364	-1.14805	-0.01521606	2.23457	-1.063312	-0.1696945	2.53443	-1.162472	0.5916909	2.392548	-1.181348	0.4620696	2.378056	-1.180715	0.3891775	2.381142	-1.174748	0.165945	2.382456	-1.095261	-0.09270253	2.230381	-1.064152	-0.1747039	2.536582	-1.189765	-0.05682051	2.195218	-1.055131	-0.1702625	2.523491	0.5992931	0.4436874	-0.3306511	0.5784974	-0.02296025	0.1526485	0.9807281	0.1197643	Inferred	Inferred
05/29 05:28:04.100 PM	0	-0.4355031	-0.01103237	2.488229	-0.111768	-0.009208594	2.454793	-0.5857887	-0.09843156	2.59907	0.05945033	-0.09514024	2.5509	-0.4739777	-0.2475057	2.488061	-0.05141053	-0.2439545	2.440063	-0.3992221	-0.2973985	2.440746	-0.1333486	-0.2923655	2.427097	-0.2845206	0.2127745	2.472047	-0.261529	0.05944729	2.474238	-0.2617561	-0.009329122	2.477226	-0.2611708	-0.2185155	2.477363	-0.3708413	-0.3469519	2.39768	-0.1509297	-0.3514858	2.380788	-0.3704638	-0.3101395	2.385	-0.1041763	-0.3323542	2.445199	0.7917627	0.2831446	0.3445578	-0.4173977	0.4044435	-0.2982508	0.7670952	0.3987944	Inferred	Tracked
05/29 05:28:04.103 PM	2	-1.274116	0.3256064	2.311827	-1.019899	0.342755	2.399742	-1.400372	0.09173597	2.428529	-0.9951291	0.1085449	2.457175	-1.268368	-0.04271626	2.239108	-1.045152	-0.1001941	2.51277	-1.201533	-0.03345427	2.235657	-1.063302	-0.1695851	2.534955	-1.16284	0.5919305	2.393009	-1.181226	0.4622376	2.3784	-1.180663	0.3893165	2.381485	-1.174902	0.166006	2.382838	-1.158758	-0.03853158	2.211798	-1.064143	-0.1745951	2.537107	-1.224803	-0.1155639	2.266088	-1.055191	-0.1702387	2.523807	0.3896089	0.477952	-0.5288292	0.5831864	-0.02287303	0.1534579	0.9806134	0.1196867	Inferred	Inferred
05/29 05:28:04.130 PM	0	-0.4366966	-0.01066886	2.489845	-0.112446	-0.008716686	2.453125	-0.5747097	-0.1091638	2.596312	0.0604596	-0.09245512	2.549541	-0.4386437	-0.2341548	2.482026	-0.05122432	-0.2417503	2.440304	-0.3780083	-0.2782448	2.412712	-0.1331805	-0.2848068	2.42646	-0.2852023	0.2125255	2.472809	-0.2615005	0.059593	2.473941	-0.2617156	-0.009162977	2.476937	-0.2611224	-0.2182949	2.477113	-0.3381646	-0.3182091	2.372717	-0.1509776	-0.3450906	2.381292	-0.3755344	-0.2142548	2.3715	-0.1077966	-0.3327283	2.435987	0.8074749	0.2150641	0.2527724	-0.4876862	0.4053351	-0.3192694	0.7521223	0.4099787	Tracked	Tracked
05/29 05:28:04.132 PM	2	-1.273963	0.3257581	2.312164	-1.019766	0.3429224	2.399895	-1.400442	0.09187161	2.428692	-0.9947854	0.1086934	2.457293	-1.226181	-0.02953178	2.213828	-1.045024	-0.100108	2.51256	-1.169491	-0.01697083	2.229497	-1.063245	-0.1695196	2.534636	-1.162856	0.5918722	2.393036	-1.181252	0.4621855	2.378385	-1.180708	0.3892664	2.381493	-1.175078	0.1659324	2.382978	-1.115298	-0.06260964	2.230761	-1.064085	-0.1745297	2.536788	-1.187266	-0.0949002	2.2389	-1.055136	-0.1702135	2.523613	0.4828861	0.4426311	-0.4029799	0.6391447	-0.02280686	0.152704	0.9806718	0.1201839	Inferred	Inferred
05/29 05:28:04.170 PM	0	-0.4372264	-0.01027959	2.490615	-0.1126025	-0.00849516	2.452565	-0.5720847	-0.1143757	2.596068	0.06105725	-0.09110697	2.549176	-0.435134	-0.2358771	2.478899	-0.06376475	-0.2291895	2.43929	-0.3734167	-0.2804504	2.41085	-0.1401637	-0.2708437	2.420789	-0.285202	0.2124521	2.472958	-0.2615308	0.05983488	2.47384	-0.2617381	-0.008923921	2.476853	-0.261144	-0.2180652	2.477085	-0.3318514	-0.3167595	2.369805	-0.1698618	-0.3309814	2.373095	-0.3742934	-0.2136102	2.36904	-0.1093047	-0.3237925	2.443429	0.8104411	0.2259975	0.2478831	-0.4802753	0.3574721	-0.3193823	0.7786703	0.4048224	Tracked	Tracked
05/29 05:28:04.172 PM	2	-1.273999	0.3255259	2.312462	-1.019792	0.3432041	2.400276	-1.400332	0.09149566	2.42916	-0.9942697	0.1091789	2.457696	-1.227049	-0.0297425	2.214771	-1.045046	-0.09967513	2.512401	-1.171341	-0.01744573	2.232214	-1.063446	-0.1691036	2.53429	-1.163169	0.5921211	2.393184	-1.181828	0.4624323	2.378813	-1.181161	0.3894869	2.381883	-1.17523	0.1660693	2.383233	-1.115853	-0.0827556	2.231841	-1.064285	-0.1741153	2.536443	-1.190971	-0.09105858	2.240897	-1.055171	-0.1700926	2.523459	0.491129	0.4323517	-0.3946241	0.6450861	-0.02255202	0.1514147	0.9807215	0.1214509	Inferred	Inferred
05/29 05:28:04.211 PM	0	-0.4375379	-0.01028641	2.490973	-0.112955	-0.008260258	2.451658	-0.5709655	-0.1160609	2.596588	0.06156008	-0.090432	2.54866	-0.4337528	-0.2357566	2.477758	-0.06395923	-0.2290343	2.440361	-0.3703513	-0.2814551	2.405169	-0.1387921	-0.2714789	2.418831	-0.2853169	0.2124004	2.47311	-0.2612984	0.05989305	2.47416	-0.2615457	-0.008858862	2.477081	-0.2610593	-0.2180004	2.477139	-0.3303626	-0.3162552	2.366822	-0.169646	-0.3305641	2.370095	-0.3736565	-0.2144264	2.365047	-0.1091661	-0.3214127	2.437526	0.8109621	0.2241571	0.2378159	-0.4853222	0.3555624	-0.3314475	0.7828633	0.3883852	Inferred	Tracked
05/29 05:28:04.213 PM	2	-1.273822	0.3256664	2.31302	-1.019604	0.3431735	2.400574	-1.400456	0.09198431	2.429594	-0.9934092	0.1096405	2.458433	-1.2281	-0.02974616	2.216271	-1.045032	-0.09939427	2.511899	-1.170841	-0.01724496	2.231063	-1.063712	-0.1688826	2.533375	-1.163114	0.5921912	2.393331	-1.181625	0.4625427	2.379363	-1.180959	0.3895923	2.38244	-1.175017	0.1661456	2.383765	-1.118167	-0.09196772	2.236464	-1.06455	-0.1738949	2.535528	-1.19618	-0.09121035	2.240106	-1.055163	-0.1700571	2.523117	0.4789515	0.445852	-0.4088953	0.6361023	-0.02227753	0.1485838	0.9809138	0.1234288	Inferred	Inferred
05/29 05:28:04.241 PM	0	-0.4386293	-0.01012311	2.492316	-0.113143	-0.007963584	2.450977	-0.5711531	-0.1174308	2.597602	0.06164115	-0.08999161	2.548019	-0.4328356	-0.2344261	2.477245	-0.06410734	-0.2287526	2.440231	-0.3701938	-0.2783628	2.40483	-0.1378911	-0.2709748	2.41794	-0.2855597	0.2123486	2.473526	-0.2611431	0.05994888	2.474413	-0.2614094	-0.008789752	2.477258	-0.2609744	-0.217905	2.47717	-0.3304968	-0.3147281	2.367723	-0.1697071	-0.3306899	2.370995	-0.3752679	-0.2100889	2.365973	-0.1092876	-0.3170902	2.439333	0.8086345	0.2259236	0.2337541	-0.4903345	0.3458791	-0.3311203	0.7877703	0.3874854	Tracked	Tracked
05/29 05:28:04.243 PM	2	-1.273873	0.3257991	2.313453	-1.019324	0.3430512	2.400875	-1.401419	0.09355116	2.430246	-0.992707	0.1099309	2.458977	-1.228792	-0.03008312	2.216886	-1.044998	-0.0993262	2.511186	-1.170758	-0.01645844	2.230623	-1.0639	-0.1688884	2.532243	-1.163009	0.5919724	2.393937	-1.181749	0.462557	2.379784	-1.181068	0.3896183	2.382841	-1.175072	0.1661935	2.384077	-1.116824	-0.06206997	2.231226	-1.064735	-0.1739005	2.534398	-1.188002	-0.0956492	2.242637	-1.055135	-0.1700785	2.522837	0.4680751	0.4523197	-0.4117613	0.6377814	-0.02216598	0.1457191	0.9811503	0.1249746	Inferred	Inferred
05/29 05:28:04.282 PM	0	-0.4391673	-0.009916315	2.493153	-0.1133686	-0.007745345	2.45001	-0.5691931	-0.1190557	2.59954	0.06185808	-0.08987599	2.547156	-0.4302312	-0.2331962	2.477049	-0.06485662	-0.2290947	2.441267	-0.3693402	-0.2793903	2.404139	-0.1380325	-0.2715943	2.417351	-0.2856298	0.212459	2.474003	-0.2615942	0.06050319	2.473553	-0.2616969	-0.008283003	2.476544	-0.2609411	-0.2174954	2.476756	-0.330349	-0.3153979	2.366723	-0.1696851	-0.3306448	2.370695	-0.375909	-0.2058319	2.364294	-0.1021895	-0.3313457	2.44174	0.8151414	0.2151158	0.2328214	-0.4848339	0.3641568	-0.3473844	0.7804089	0.371047	Tracked	Tracked
