timestamp	personID	ShoulderLeft.X	ShoulderLeft.Y	ShoulderLeft.Z	ShoulderRight.X	ShoulderRight.Y	ShoulderRight.Z	ElbowLeft.X	ElbowLeft.Y	ElbowLeft.Z	ElbowRight.X	ElbowRight.Y	ElbowRight.Z	WristLeft.X	WristLeft.Y	WristLeft.Z	WristRight.X	WristRight.Y	WristRight.Z	HandLeft.X	HandLeft.Y	HandLeft.Z	HandRight.X	HandRight.Y	HandRight.Z	Head.X	Head.Y	Head.Z	Neck.X	Neck.Y	Neck.Z	SpineShoulder.X	SpineShoulder.Y	SpineShoulder.Z	SpineMid.X	SpineMid.Y	SpineMid.Z	HandTipLeft.X	HandTipLeft.Y	HandTipLeft.Z	HandTipRight.X	HandTipRight.Y	HandTipRight.Z	ThumbLeft.X	ThumbLeft.Y	ThumbLeft.Z	ThumbRight.X	ThumbRight.Y	ThumbRight.Z	HandLeftOri.X	HandLeftOri.Y	HandLeftOri.Z	HandLeftOri.W	HandRightOri.X	HandRightOri.Y	HandRightOri.Z	HandRightOri.W	HandLeftStatus	HandRightStatus
05/29 05:11:02.785 PM	1	0.1837217	-0.0777013	2.7742	0.510106	-0.09582596	2.772187	0.1551863	-0.3151217	2.866015	0.5691458	-0.2823347	2.717737	0.3083922	-0.4180059	2.659369	0.6784772	-0.3682488	2.477461	0.3152432	-0.4767022	2.649359	0.6891996	-0.3814131	2.43718	0.3609501	0.1551849	2.762998	0.3446352	0.02439867	2.762961	0.3449808	-0.0445344	2.767384	0.3449632	-0.2539057	2.771544	0.3737988	-0.5544586	2.664849	0.6902544	-0.446094	2.367329	0.370398	-0.4165943	2.612705	0.693024	-0.3298585	2.397727	0.7894593	-0.005489444	0.6053149	-0.1015757	0.7932564	0.04612974	0.146023	-0.5893163	Inferred	Tracked
05/29 05:11:02.827 PM	1	0.1837737	-0.07763897	2.774075	0.5100676	-0.09568736	2.772133	0.1551768	-0.3151297	2.866069	0.5693135	-0.2821754	2.717867	0.3458456	-0.3751607	2.674775	0.6766858	-0.3694983	2.477181	0.3960608	-0.3960587	2.643879	0.6891485	-0.3915372	2.435183	0.3610779	0.1550332	2.762647	0.3447663	0.02424082	2.762655	0.3451337	-0.04470384	2.767025	0.3451773	-0.2541012	2.771041	0.448388	-0.4609572	2.651612	0.6882451	-0.4504682	2.356822	0.4451406	-0.3462103	2.67125	0.6991454	-0.3318521	2.394243	0.4126474	-0.01263796	0.7048158	-0.5768856	0.8309299	0.03632431	0.1850984	-0.5234259	Inferred	Tracked
05/29 05:11:02.868 PM	1	0.1836801	-0.07763407	2.773956	0.5100524	-0.09586445	2.771634	0.1549922	-0.3152407	2.866261	0.5682039	-0.283053	2.719031	0.3456495	-0.3752129	2.674919	0.6724784	-0.3743122	2.478425	0.3936876	-0.3964034	2.650563	0.6854555	-0.4013743	2.437515	0.3610869	0.1549584	2.762497	0.3446415	0.0242222	2.762584	0.3450183	-0.04473256	2.766939	0.3450826	-0.2541654	2.770905	0.4457236	-0.4620497	2.66094	0.6787965	-0.4669895	2.37583	0.4415762	-0.3465713	2.6715	0.6778982	-0.3449165	2.407215	0.4246191	0.03956778	0.7090554	-0.5615813	0.8659707	0.07633711	0.1295209	-0.4769611	Inferred	Tracked
05/29 05:11:02.901 PM	1	0.1837413	-0.07762223	2.77363	0.5100815	-0.09586412	2.771686	0.1516955	-0.2759704	2.850552	0.56937	-0.282694	2.719161	0.341926	-0.3352753	2.658473	0.6753975	-0.3719417	2.478574	0.390516	-0.3664197	2.653962	0.6892849	-0.4003049	2.430344	0.361128	0.1548383	2.762343	0.344846	0.02400555	2.761992	0.3452237	-0.04490197	2.766459	0.3452658	-0.2542248	2.770704	0.4247676	-0.4239242	2.653708	0.6890075	-0.4542893	2.35465	0.4316316	-0.3249084	2.67068	0.7166196	-0.3408322	2.3908	0.470577	0.2193234	0.7399672	-0.4276718	0.8249654	-0.01023349	0.2557899	-0.5038836	Inferred	Tracked
05/29 05:11:02.936 PM	1	0.1838639	-0.07747813	2.773316	0.5100722	-0.09593175	2.771552	0.1538987	-0.3108506	2.866298	0.5729901	-0.2809019	2.715999	0.3441579	-0.3708289	2.674522	0.6796762	-0.3664953	2.474332	0.3928122	-0.3957263	2.651044	0.6996683	-0.3948215	2.426354	0.3611194	0.154814	2.762302	0.3450926	0.02395384	2.761781	0.3454059	-0.04494456	2.766299	0.3453067	-0.2542403	2.770668	0.4399106	-0.4583973	2.658257	0.6887459	-0.4532999	2.344145	0.4396569	-0.3372983	2.671469	0.6724215	-0.3481084	2.39	0.4457705	0.05821608	0.7145391	-0.5360349	0.8294634	0.3135822	-0.2263991	-0.402989	Inferred	Inferred
05/29 05:11:02.974 PM	1	0.1839031	-0.07751745	2.773083	0.5100648	-0.09593405	2.771444	0.1541637	-0.3115501	2.866341	0.5723842	-0.2814115	2.717277	0.3444211	-0.3714576	2.674531	0.6805161	-0.3663692	2.476042	0.3925232	-0.3952918	2.650552	0.6948614	-0.3975113	2.426575	0.3613144	0.1545672	2.761869	0.3450307	0.02380731	2.761374	0.3453778	-0.04506209	2.765965	0.3453383	-0.2542842	2.770527	0.4370704	-0.4585707	2.6567	0.6897594	-0.4581996	2.347642	0.4408697	-0.3466738	2.672956	0.7333705	-0.3532557	2.410667	0.4345554	0.04494714	0.7168331	-0.5434074	0.7816876	-0.08535552	0.384281	-0.4837426	Inferred	Inferred
05/29 05:11:03.010 PM	1	0.1839211	-0.07756358	2.772881	0.5100968	-0.09610902	2.771063	0.1497905	-0.2570308	2.838061	0.5722165	-0.2817562	2.71739	0.3400857	-0.3156953	2.645782	0.6802928	-0.3672478	2.476326	0.3874746	-0.3568905	2.652189	0.6953865	-0.3960688	2.425331	0.3612235	0.1544769	2.761766	0.3451247	0.0237746	2.761049	0.3454642	-0.04508781	2.765671	0.3453952	-0.2542875	2.770355	0.4112092	-0.4087563	2.64328	0.6898233	-0.4574191	2.352645	0.4187946	-0.289169	2.669111	0.7100096	-0.3343403	2.38575	0.4641412	0.2588655	0.7816079	-0.326574	0.8292245	0.01167621	0.2249894	-0.511498	Inferred	Inferred
05/29 05:11:03.046 PM	1	0.1841868	-0.07740244	2.772335	0.5101378	-0.09613822	2.771066	0.1521915	-0.2625605	2.840507	0.5719704	-0.2819712	2.717822	0.3048451	-0.3958655	2.652384	0.679469	-0.3689414	2.477037	0.3154959	-0.4563524	2.643352	0.6949828	-0.3973317	2.424298	0.3614779	0.1543733	2.76154	0.3452948	0.0237339	2.760746	0.345604	-0.04511587	2.765433	0.3454531	-0.2542864	2.770284	0.3609329	-0.5316781	2.660333	0.6900594	-0.4606895	2.346888	0.3728527	-0.3994489	2.61285	0.6648137	-0.3567145	2.401	0.7813042	0.02266325	0.6137981	-0.1109145	0.782346	0.3346325	-0.3425805	-0.3982393	Inferred	Tracked
05/29 05:11:03.080 PM	1	0.1841966	-0.07739787	2.772328	0.5100592	-0.09606662	2.770968	0.1528654	-0.2637467	2.841348	0.5717227	-0.2819083	2.717471	0.3034552	-0.4019545	2.655224	0.6791008	-0.3695396	2.47688	0.3099321	-0.4638502	2.647282	0.691663	-0.3988284	2.430328	0.3614781	0.1544993	2.761514	0.3452276	0.02383144	2.760775	0.3455594	-0.04504458	2.765448	0.3454471	-0.254264	2.770284	0.3594122	-0.5345286	2.665662	0.6880258	-0.4553841	2.348021	0.3636047	-0.4070137	2.611958	0.7202349	-0.3416894	2.402364	0.7895027	0.002270999	0.6082519	-0.08191471	0.8280404	-0.02631549	0.2718964	-0.4896212	Inferred	Tracked
05/29 05:11:03.120 PM	1	0.184136	-0.07742596	2.772201	0.5101503	-0.09624617	2.77085	0.1534391	-0.272973	2.846726	0.5715647	-0.282195	2.717464	0.1943731	-0.510666	2.715789	0.6764645	-0.3728438	2.476892	0.2349668	-0.5704559	2.678203	0.6908488	-0.4048555	2.426332	0.361478	0.154505	2.76152	0.3452705	0.02375885	2.760711	0.3456016	-0.04511386	2.765391	0.3454837	-0.2543178	2.770257	0.2701696	-0.6328239	2.634944	0.6845174	-0.4614384	2.351425	0.2690736	-0.5307403	2.659346	0.6923551	-0.4123905	2.352334	0.7449629	0.06545368	0.5585949	-0.3587726	0.8473876	0.0195359	0.2049361	-0.4894424	Tracked	Tracked
