timestamp	personID	ShoulderLeft.X	ShoulderLeft.Y	ShoulderLeft.Z	ShoulderRight.X	ShoulderRight.Y	ShoulderRight.Z	ElbowLeft.X	ElbowLeft.Y	ElbowLeft.Z	ElbowRight.X	ElbowRight.Y	ElbowRight.Z	WristLeft.X	WristLeft.Y	WristLeft.Z	WristRight.X	WristRight.Y	WristRight.Z	HandLeft.X	HandLeft.Y	HandLeft.Z	HandRight.X	HandRight.Y	HandRight.Z	Head.X	Head.Y	Head.Z	Neck.X	Neck.Y	Neck.Z	SpineShoulder.X	SpineShoulder.Y	SpineShoulder.Z	SpineMid.X	SpineMid.Y	SpineMid.Z	HandTipLeft.X	HandTipLeft.Y	HandTipLeft.Z	HandTipRight.X	HandTipRight.Y	HandTipRight.Z	ThumbLeft.X	ThumbLeft.Y	ThumbLeft.Z	ThumbRight.X	ThumbRight.Y	ThumbRight.Z	HandLeftOri.X	HandLeftOri.Y	HandLeftOri.Z	HandLeftOri.W	HandRightOri.X	HandRightOri.Y	HandRightOri.Z	HandRightOri.W	HandLeftStatus	HandRightStatus
05/30 05:36:57.286 PM	1	0.2507753	-0.02203868	3.252162	0.5565549	-0.07338104	3.375778	0.1386734	-0.2638059	3.280687	0.5476202	-0.2972946	3.39514	0.1286154	-0.4992249	3.19052	0.5796555	-0.5545814	3.296023	0.1400908	-0.5402011	3.174041	0.5760648	-0.6001309	3.283626	0.4904286	0.1802341	3.290206	0.4113616	0.07466138	3.296001	0.4069768	0.0005460916	3.301351	0.3928582	-0.2243988	3.308013	0.1382636	-0.6005003	3.176917	0.5700241	-0.6499994	3.291726	0.1097095	-0.536704	3.135223	0.5961881	-0.6126358	3.2782	0.8678889	0.1991736	-0.4424427	-0.1065042	0.4688814	-0.1345598	0.8724745	-0.02884837	Tracked	Tracked
05/30 05:36:57.289 PM	3	-1.192691	-0.06963482	2.769076	-0.8774107	-0.02494038	2.862274	-1.193424	-0.2789346	2.739709	-0.805858	-0.277795	2.888	-1.143164	-0.4748758	2.674624	-0.7701702	-0.4774933	2.826857	-1.113496	-0.4887263	2.673563	-0.7732569	-0.525714	2.795934	-1.095515	0.195033	2.803906	-1.05673	0.07551473	2.819863	-1.050649	0.001777619	2.824459	-1.029086	-0.2223105	2.829471	-1.078306	-0.5464668	2.639822	-0.7674683	-0.5867018	2.768651	-1.140051	-0.5167832	2.638684	-0.7449623	-0.5271017	2.780533	0.701835	0.4573932	-0.4677878	0.2817686	0.7054158	-0.2110199	0.6501324	-0.1875821	Inferred	Tracked
05/30 05:36:57.324 PM	1	0.2594132	-0.02460026	3.251127	0.5577478	-0.07924627	3.369415	0.1440716	-0.2655595	3.279477	0.5519104	-0.2996926	3.395349	0.1353732	-0.5004452	3.187665	0.5799428	-0.5564753	3.29602	0.1441313	-0.5406934	3.173397	0.5732447	-0.5940123	3.2861	0.4939561	0.1767159	3.291358	0.415853	0.07336605	3.296037	0.4111147	-0.0008221181	3.301331	0.395873	-0.2259133	3.307857	0.1358636	-0.5994631	3.171417	0.5717579	-0.6290916	3.275735	0.1142492	-0.5433573	3.154375	0.5842465	-0.5955531	3.278667	0.7589408	0.1849656	-0.6210189	-0.06428231	0.3950827	-0.1511807	0.9056905	0.02790588	Tracked	Tracked
05/30 05:36:57.326 PM	3	-1.193279	-0.07037057	2.769416	-0.8846005	-0.02419182	2.860022	-1.193655	-0.2796735	2.739969	-0.8072159	-0.2789315	2.882556	-1.145936	-0.4760963	2.674567	-0.7738876	-0.4772143	2.814738	-1.119638	-0.4897672	2.675023	-0.7756684	-0.5294825	2.783973	-1.095498	0.1957206	2.803103	-1.056066	0.07556631	2.819195	-1.050198	0.001772778	2.823813	-1.029073	-0.2224796	2.828693	-1.08478	-0.5486116	2.643321	-0.7760509	-0.5903924	2.760634	-1.144546	-0.5227947	2.640938	-0.74828	-0.5284892	2.769265	0.7132316	0.42808	-0.471057	0.2935194	0.7265385	-0.184344	0.6347084	-0.1878947	Inferred	Tracked
05/30 05:36:57.362 PM	1	0.2687314	-0.02522399	3.251352	0.5701427	-0.09207023	3.37463	0.1468271	-0.2679115	3.276337	0.562991	-0.3168612	3.398121	0.1404137	-0.5000353	3.185508	0.5854998	-0.5744916	3.298396	0.1463289	-0.5363576	3.17208	0.586819	-0.6057889	3.290201	0.5047709	0.180546	3.291109	0.4248469	0.0721852	3.295234	0.4190865	-0.002177618	3.300624	0.4009881	-0.2276348	3.307398	0.144313	-0.5900731	3.167172	0.6683937	-0.6546341	3.250644	0.1153535	-0.5370441	3.154938	0.5977376	-0.6072592	3.282796	0.7607039	0.1699572	-0.6204256	-0.08669668	0.1183389	-0.1242524	0.9845243	-0.03562577	Tracked	Tracked
05/30 05:36:57.364 PM	3	-1.195945	-0.07215313	2.769931	-0.8822413	-0.02495284	2.857192	-1.193866	-0.2815681	2.74134	-0.8078918	-0.280466	2.878035	-1.146043	-0.4777023	2.67502	-0.7757111	-0.4767775	2.803196	-1.11809	-0.5039119	2.666841	-0.7785882	-0.5223609	2.774257	-1.09596	0.1958555	2.802805	-1.055484	0.07561661	2.818945	-1.049899	0.001791988	2.823486	-1.029508	-0.2225709	2.827588	-1.080787	-0.5609584	2.638634	-0.7782822	-0.5863481	2.746237	-1.143759	-0.548777	2.630143	-0.7553487	-0.5327395	2.738368	0.7009988	0.3729173	-0.5857142	0.1627032	0.8064862	-0.1744831	0.520676	-0.2191626	Inferred	Tracked
05/30 05:36:57.402 PM	1	0.2703167	-0.02538235	3.251232	0.575047	-0.09013009	3.377869	0.1501132	-0.2702671	3.27544	0.5643868	-0.3181109	3.398046	0.1438481	-0.5007294	3.184865	0.586323	-0.5759836	3.298311	0.153009	-0.5388663	3.174123	0.5855804	-0.6046699	3.292955	0.5121221	0.1809534	3.290623	0.4289953	0.0723464	3.294919	0.4231343	-0.001997479	3.300348	0.404412	-0.2274706	3.307246	0.1462553	-0.5892301	3.162671	0.5786381	-0.6362107	3.28973	0.122669	-0.5339111	3.15245	0.6103466	-0.6053531	3.292	0.7863641	0.1721225	-0.5920586	-0.03836771	0.4138758	-0.08910153	0.9055694	-0.02667735	Tracked	Tracked
05/30 05:36:57.404 PM	3	-1.196754	-0.07266217	2.769873	-0.8805422	-0.02622127	2.854809	-1.194303	-0.2821341	2.742209	-0.8095142	-0.2811533	2.869994	-1.149553	-0.478781	2.675414	-0.7796881	-0.4771817	2.793283	-1.121563	-0.5038478	2.667354	-0.784316	-0.5282933	2.758654	-1.097396	0.1957431	2.800339	-1.05515	0.07557973	2.818181	-1.04983	0.001720901	2.822434	-1.030946	-0.2228486	2.825014	-1.084578	-0.5612192	2.635123	-0.781688	-0.5829696	2.727126	-1.154748	-0.536171	2.638409	-0.7594687	-0.5180495	2.742143	0.6895396	0.3791318	-0.5921863	0.1735212	0.7535037	-0.2108181	0.5873821	-0.2068095	Inferred	Tracked
05/30 05:36:57.432 PM	1	0.2728329	-0.02583805	3.250662	0.5747501	-0.08604908	3.377362	0.1557418	-0.2710816	3.274686	0.5634859	-0.3169609	3.396327	0.1464819	-0.5000306	3.184908	0.584896	-0.5750928	3.296494	0.1519679	-0.5369264	3.169639	0.5755081	-0.603629	3.289002	0.5166371	0.1780979	3.290051	0.4324201	0.07295563	3.294712	0.4264208	-0.00141312	3.300153	0.4071482	-0.2270093	3.307096	0.149737	-0.59811	3.160581	0.5683462	-0.6346994	3.281735	0.1231236	-0.5336995	3.150723	0.5796232	-0.6132109	3.278	0.7601166	0.175925	-0.6163785	-0.1065393	0.3665587	-0.1723267	0.9091063	0.09728368	Tracked	Tracked
05/30 05:36:57.434 PM	3	-1.197819	-0.07303203	2.770112	-0.8806396	-0.02653227	2.852368	-1.196048	-0.2825473	2.743684	-0.8136449	-0.2781892	2.863684	-1.154106	-0.4792043	2.675029	-0.7840145	-0.4742415	2.786925	-1.126414	-0.5104009	2.663262	-0.7891884	-0.5259461	2.749083	-1.098173	0.1952906	2.798236	-1.055003	0.07529721	2.817582	-1.049953	0.001371636	2.821598	-1.032415	-0.2234993	2.823249	-1.089826	-0.5677653	2.634056	-0.7859564	-0.5834498	2.722246	-1.158345	-0.5478549	2.627733	-0.760887	-0.5336033	2.732364	0.6963191	0.3553628	-0.612398	0.1175822	0.6955905	-0.2420468	0.6467824	-0.19809	Inferred	Tracked
05/30 05:36:57.468 PM	1	0.2742306	-0.02618999	3.250331	0.5808166	-0.09661106	3.377674	0.1583055	-0.2724816	3.272749	0.5691345	-0.3328663	3.393721	0.150897	-0.5006615	3.184948	0.5896542	-0.5919294	3.293856	0.1549332	-0.5366781	3.171654	0.5767887	-0.6030542	3.286763	0.5205082	0.1722709	3.292973	0.4382242	0.07260707	3.293161	0.4311393	-0.001959752	3.298896	0.4092889	-0.2279013	3.306521	0.1545658	-0.5910017	3.165319	0.5693495	-0.6447529	3.287729	0.1249146	-0.5374883	3.148056	0.5914983	-0.6084018	3.281887	0.8012938	0.1448177	-0.5695817	-0.111949	0.3551354	-0.3519022	0.8220237	0.2726184	Tracked	Tracked
05/30 05:36:57.475 PM	3	-1.203561	-0.07331659	2.77121	-0.8827357	-0.02823985	2.846476	-1.200603	-0.2828802	2.745353	-0.8157109	-0.2766913	2.854434	-1.149809	-0.5119011	2.659917	-0.7886655	-0.472397	2.775654	-1.1264	-0.5582443	2.646546	-0.7934777	-0.5244669	2.736415	-1.100617	0.1953747	2.796297	-1.055194	0.07515495	2.817119	-1.050628	0.001120726	2.820701	-1.035556	-0.2241492	2.820804	-1.120045	-0.6283931	2.630855	-0.7947319	-0.5822781	2.711004	-1.16198	-0.5703558	2.623867	-0.7733968	-0.5387143	2.6915	0.7057962	0.2534167	-0.6588222	0.05987442	0.8284419	-0.1877428	0.4603425	-0.2579176	Inferred	Tracked
05/30 05:36:57.511 PM	1	0.2756553	-0.02634851	3.250057	0.5816759	-0.09657228	3.376348	0.1613661	-0.2747396	3.271784	0.5735947	-0.3305665	3.394999	0.1554394	-0.5011183	3.183781	0.5936617	-0.5897868	3.295099	0.1590338	-0.5353281	3.173292	0.5874081	-0.6045699	3.298141	0.5217297	0.1648789	3.292908	0.4417462	0.0721015	3.293411	0.4342538	-0.002493716	3.299052	0.4110236	-0.2285098	3.306502	0.1459362	-0.5823969	3.165127	0.5683104	-0.6435763	3.281729	0.1301154	-0.516979	3.149714	0.6177794	-0.612749	3.308	0.8096328	0.1260407	-0.5658082	-0.09203079	0.4035746	0.005772989	0.8885743	0.2180138	Tracked	Tracked
05/30 05:36:57.521 PM	3	-1.206194	-0.07425275	2.77079	-0.8854553	-0.02855001	2.841701	-1.203631	-0.2838562	2.746248	-0.8186442	-0.276332	2.847584	-1.14981	-0.5114754	2.65973	-0.7925086	-0.4705919	2.764454	-1.128715	-0.5569127	2.645795	-0.7982586	-0.5218212	2.721554	-1.103319	0.1954145	2.793228	-1.056356	0.0744906	2.815473	-1.05242	0.0003745448	2.818582	-1.038757	-0.2249014	2.817926	-1.121582	-0.6257987	2.632814	-0.7979149	-0.5777909	2.688867	-1.167186	-0.5645497	2.621895	-0.7666955	-0.5327193	2.732	0.7126151	0.2479663	-0.6550573	0.03990671	0.2683221	-0.339412	0.8999633	-0.05356183	Inferred	Tracked
05/30 05:36:57.545 PM	1	0.2880897	-0.02532693	3.249866	0.5834978	-0.09684833	3.375911	0.1628115	-0.2753462	3.271336	0.5785004	-0.3294849	3.397177	0.1578642	-0.5009078	3.184503	0.5983625	-0.5887269	3.297278	0.1603987	-0.5358998	3.176152	0.608794	-0.6224766	3.283853	0.5282453	0.1643052	3.290282	0.4508356	0.07126971	3.293694	0.4423467	-0.003394037	3.299264	0.4160036	-0.2296134	3.306577	0.1618384	-0.5975621	3.172914	0.6665052	-0.661585	3.241638	0.1309111	-0.5385888	3.154722	0.6390109	-0.630525	3.293765	0.7758449	0.1004285	-0.6190343	-0.06910325	0.1774459	-0.1536321	0.9565859	-0.1727815	Tracked	Tracked
05/30 05:36:57.546 PM	3	-1.206249	-0.07451168	2.770504	-0.8867422	-0.02914427	2.838724	-1.207975	-0.2839915	2.746392	-0.8227667	-0.2754786	2.842074	-1.152865	-0.5045685	2.660563	-0.7982754	-0.4689699	2.755417	-1.132807	-0.548623	2.647181	-0.8052675	-0.5194313	2.714244	-1.105861	0.1964478	2.791212	-1.058892	0.07427212	2.813915	-1.055452	7.007597E-05	2.816781	-1.0425	-0.2254618	2.815884	-1.122529	-0.6196463	2.632676	-0.803738	-0.5768383	2.685384	-1.165971	-0.5718116	2.617462	-0.7814886	-0.5227599	2.695829	0.7118096	0.2447314	-0.6572126	0.03879712	0.6973668	-0.2662858	0.6315638	-0.20952	Inferred	Tracked
05/30 05:36:57.583 PM	1	0.2914197	-0.02513873	3.249311	0.5879155	-0.09778195	3.377132	0.1648731	-0.2765979	3.271314	0.5851254	-0.3293694	3.401214	0.1603665	-0.5004502	3.185542	0.6048825	-0.5886053	3.301343	0.1606918	-0.534516	3.175449	0.6131964	-0.6231757	3.281045	0.5327928	0.1616702	3.289701	0.4525127	0.07106224	3.293407	0.4441929	-0.003569074	3.299003	0.4181289	-0.2297419	3.30643	0.1554615	-0.5837178	3.159923	0.6701804	-0.6568791	3.259343	0.1404394	-0.5186799	3.134143	0.6730099	-0.6423856	3.282668	0.9307851	0.05310604	-0.3361808	-0.133421	0.212949	-0.2282665	0.9363965	-0.1603394	Tracked	Tracked
